ID_Colegio,Institucion,Municipio,Etapa,Tipo,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5
225035000358,IERD PATIO BONITO,ANAPOIMA,e5,Sugerencias,Diagnóstico de necesidades,Estilos de aprendizaje,Adaptación curricular,Capacitación Docente,Refuerzo de contenidos
225035000358,IERD PATIO BONITO,ANAPOIMA,e6,Logros,Modelo Pedagógico,Cambio Metodológico,Prácticas de Enseñanza,Espacios de Discusión,Reflexión
225035000358,IERD PATIO BONITO,ANAPOIMA,e6,Retos,Mejoramiento Institucional,Acompañamiento Experiencial,Planeaciones Coherentes,Participación Familiar,Transversalidad Curricular
225035000358,IERD PATIO BONITO,ANAPOIMA,e6,Sugerencias,Análisis y Reflexión,Acompañamiento docente,Mejora Continua,Evaluación formativa,Estrategias de formación activa
125040000582,IED CARLOS GIRALDO,ANOLAIMA,e5,Logros,Ajuste Documental,PEI,Modelo Pedagógico,Objetivos Educativos,Sensibilización
125040000582,IED CARLOS GIRALDO,ANOLAIMA,e5,Retos,Ajustes Documentales,Trabajo Reflexivo,Currículo Agrícola,Implementación del Modelo,
125040000582,IED CARLOS GIRALDO,ANOLAIMA,e5,Sugerencias,Ajustes Documentales,Desescolarización,Capacitación Docente,Programación de Actividades,Desarticulación
125599000060,IED ANTONIO NARIÑO - Apulo,APULO,e5,Logros,Entusiasmo Directivos,Acompañamiento Docente,Proyecto de Seguimiento,Análisis de Resultados,Importancia del Plan de Formación
125599000060,IED ANTONIO NARIÑO - Apulo,APULO,e5,Retos,Trabajo Reflexivo,Implementación del Modelo,Evaluación de Impacto,Ajustes Documentales,Capacitación Docente
125599000060,IED ANTONIO NARIÑO - Apulo,APULO,e5,Sugerencias,Ajustes Documentales,Programación de Actividades,Desescolarización,Capacitación Docente,Desarticulación
125599000060,IED ANTONIO NARIÑO - Apulo,APULO,e6,Logros,Liderazgo,Prácticas de Enseñanza,Actividades Activas,Evaluación,Transformación Pedagógica
125599000060,IED ANTONIO NARIÑO - Apulo,APULO,e6,Retos,Acompañamiento Experiencial,Planeaciones Coherentes,Lineamientos Institucionales,Metas Realistas,Enfoque Humanista
125599000060,IED ANTONIO NARIÑO - Apulo,APULO,e6,Sugerencias,Acompañamiento docente,Análisis y Reflexión,Mejora Continua,Estrategias de formación activa,Apoyo externo
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e1,Logros,Armonización Teórica,Flexibilidad de Aprendizaje,Desarrollo de Habilidades,Evaluación,Articulación de Instrumentos
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e1,Retos,Ruralidad,Identidad Regional,Evaluación,Aprendizaje Cooperativo,Estrategias de Enseñanza
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e2,Logros,Planeación Curricular,Implementación,Evaluación,Instrumentos de Evaluación,Modelo Pedagógico
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e2,Retos,Espacios Pedagógicos,Estrategias de Éxito,Unificación de Criterios,,
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e2,Sugerencias,Gestión Integral,Evaluación,Mejora Continua,Herramienta de Seguimiento,Jornada Única
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e3,Logros,Reflexión Sistemática,Autoevaluación,Juicio Crítico,Crecimiento en la Praxis,Competencias Clave
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e3,Retos,Evaluación,Investigación Pedagógica,Planeación,Reflexión Crítica,Proyectos Interdisciplinarios
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e3,Sugerencias,Mejora de Prácticas,Metodología Lesson Study,Gamificación,Trabajo por Proyectos,Calidad Educativa
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e4,Logros,Reflexión Docente,Neurociencias,Emociones,Práctica Docente,Aprendizaje
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e4,Retos,Integración Neurociencia,Conciencia Emocional,Prácticas Pedagógicas,Resolución de Conflictos,Motivación Estudiantil
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e4,Sugerencias,Comunidades de Aprendizaje,Neurociencias,Formación Continua,Guía de Implementación,Ejercicios de Gimnasia Cerebral
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e6,Logros,Reflexión,Modelo Pedagógico,Desconexiones,Estándares Académicos,Diseño Curricular
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e6,Retos,Articulación entre áreas,Propuestas pedagógicas integradas,Análisis colectivos,Planeaciones pertinentes,Contexto rural
125053000018,IED JOHN F. KENNEDY,ARBELÁEZ,e6,Sugerencias,Planeaciones de Clase,Análisis de realidad,Acompañamiento docente,Estrategias de formación activa,Formación contextualizada
425053000402,IED KIRPALAMAR,ARBELÁEZ,e1,Logros,Secuenciación Didáctica,Flexibilidad de Aprendizaje,Desarrollo de Habilidades,Planeación,Ajuste de Modelo
425053000402,IED KIRPALAMAR,ARBELÁEZ,e1,Retos,Evaluación,Estrategias de Enseñanza,Planeación Microcurricular,Filosofía Institucional,Coherencia Educativa
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e1,Logros,Evaluación,Capacitación Docente,Competencias TIC,Flexibilidad de Aprendizaje,Uso de TIC
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e1,Retos,Coherencia Educativa,Planeación Microcurricular,Integración de Recursos,Articulación TIC,Visibilidad Documental
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e2,Logros,Planeación Curricular,Implementación,Evaluación,Modelo Pedagógico,Socialización de Criterios
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e2,Retos,Estrategias de Éxito,Modelo Pedagógico,Planeación Educativa,Evaluación Educativa,Secuencia Didáctica
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e2,Sugerencias,Reconocimiento del contexto,Diagnóstico,Plan de acompañamiento,Mejora Continua,Gestión Integral
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e3,Logros,Reflexión Sistemática,Trabajo Colaborativo,Crecimiento en la Praxis,Reconocimiento de Habilidades,Ajustes de la Práctica
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e3,Retos,Planeación,Evaluación,Reflexión Crítica,Proyectos Colaborativos,Estrategias Innovadoras
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e3,Sugerencias,Mejora de Prácticas,Comunidades de Indagación,Calidad Educativa,Evaluación Colaborativa,Planeación Unificada
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e4,Logros,Curiosidad,Neurociencias,Reflexión Docente,Emociones,Práctica Docente
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e4,Retos,Gestión Emocional,Clima Laboral,Neuroeducación,Plan Curricular,Formación Docente
225053000187,IED RURAL ZARAGOZA,ARBELÁEZ,e4,Sugerencias,Retos,Comunidad Educativa,Implementación,,
225086000212,IERD TECNICO AGROPECUARIO JAIME DE NARVAEZ PAQUILÓ,BELTRÁN,e5,Logros,Comunicación Asertiva,Producción de Contenidos,Socialización Cognitiva,Experiencias Significativas,Proyección de Vida
225086000212,IERD TECNICO AGROPECUARIO JAIME DE NARVAEZ PAQUILÓ,BELTRÁN,e5,Retos,Modelo Pedagógico,Trabajo Reflexivo,Aprendizaje Significativo,Ajustes Documentales,Microcurrículo
225086000212,IERD TECNICO AGROPECUARIO JAIME DE NARVAEZ PAQUILÓ,BELTRÁN,e5,Sugerencias,Modelo Pedagógico,Aprendizaje Significativo,Estrategias de Enseñanza,Condiciones Cognitivas,Integración Comunitaria
225086000212,IERD TECNICO AGROPECUARIO JAIME DE NARVAEZ PAQUILÓ,BELTRÁN,e6,Logros,Participación institucional,Habilidades Socioemocionales,Cambio Metodológico,Actividades Activas,Clima escolar
225086000212,IERD TECNICO AGROPECUARIO JAIME DE NARVAEZ PAQUILÓ,BELTRÁN,e6,Retos,Deserción estudiantil,Motivación,Conectividad,Tecnología educativa,Entorno familiar
225086000212,IERD TECNICO AGROPECUARIO JAIME DE NARVAEZ PAQUILÓ,BELTRÁN,e6,Sugerencias,Acompañamiento docente,Mejora Continua,Estrategias de formación activa,Participación familiar,Permanencia escolar
125086000234,IED TECNICO AGROPECUARIO JAIME DE NARVAEZ BELTRAN,BELTRÁN,e5,Logros,Reflexión Directiva,Coherencia en Planeaciones,Acompañamiento Docente,Análisis de Resultados,Experiencias Significativas
125086000234,IED TECNICO AGROPECUARIO JAIME DE NARVAEZ BELTRAN,BELTRÁN,e5,Retos,Implementación del Modelo,Planeaciones 2025,Estrategias Activas,Investigación Colaborativa,Secuencia Didáctica
125086000234,IED TECNICO AGROPECUARIO JAIME DE NARVAEZ BELTRAN,BELTRÁN,e5,Sugerencias,Modelo Pedagógico,Estrategias de Enseñanza,Aprendizaje Significativo,Metas de Gestión,Comunicación de Objetivos
125086000234,IED TECNICO AGROPECUARIO JAIME DE NARVAEZ BELTRAN,BELTRÁN,e6,Logros,Liderazgo,Cambio Metodológico,Modelo Pedagógico,Actividades Activas,Evaluación
125086000234,IED TECNICO AGROPECUARIO JAIME DE NARVAEZ BELTRAN,BELTRÁN,e6,Retos,Bajo rendimiento académico,Motivación,Evaluación Calificativa,Resignificación de documentos,Bagaje cultural
125086000234,IED TECNICO AGROPECUARIO JAIME DE NARVAEZ BELTRAN,BELTRÁN,e6,Sugerencias,Trabajo con proyectos agropecuarios,Educación contextualizada,Plan lector transversal,Estrategias activas,Formación para padres
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e1,Logros,Armonización Teórica,Planeación,Evaluación,Flexibilidad de Aprendizaje,Trabajo en Equipo
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e1,Retos,Planeación Microcurricular,Estrategias de Enseñanza,Coherencia Educativa,Reflexión Pedagógica,Ajustes Documentales
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e2,Logros,Planeación Curricular,Evaluación,Implementación,Estructura Didáctica,Reflexión Pedagógica
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e2,Retos,Planeación Educativa,Estrategias de Éxito,Modelo Pedagógico,Enfoque Pedagógico,Metodología de Proyectos
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e2,Sugerencias,Reconocimiento del contexto,Plan de acompañamiento,Diagnóstico,Herramienta de Seguimiento,Inclusión y Diversidad
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e3,Logros,Reflexión Sistemática,Trabajo Colaborativo,Planeación y Evaluación,Ajustes de la Práctica,Capacitación en Práctica Reflexiva
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e3,Retos,Reflexión Crítica,Planeación,Comunidad Escolar,Estrategias Innovadoras,Acompañamiento Docente
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e3,Sugerencias,Mejora de Prácticas,Planeación Unificada,Retroalimentación,Pedagogía Transformadora,Espacios de Diálogo
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e4,Logros,Neurociencias,Emociones,Práctica Docente,Aprendizaje,Habilidades Sociales
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e4,Retos,Socialización,Implementación en el aula,Neuroeducación,Planeación,Reflexiones consolidadas
125099000101,IED NUESTRA SEÑORA DE LA GRACIA,BOJACÁ,e4,Sugerencias,Implementación,Formación Continua,Comunidad Educativa,Inteligencia Emocional,Proyectos de Aprendizaje
225099000041,IERD BARROBLANCO,BOJACÁ,e1,Logros,Planeación,Desarrollo de Habilidades,Armonización Teórica,Secuenciación Didáctica,Conceptos Estructurantes
225099000041,IERD BARROBLANCO,BOJACÁ,e1,Retos,Planeación Microcurricular,Coherencia Educativa,Estrategias de Enseñanza,Inclusión Educativa,Gestión Pedagógica
225099000041,IERD BARROBLANCO,BOJACÁ,e2,Logros,Evaluación,Reflexión Pedagógica,Interacciones,Clima de Aula,Retroalimentación
225099000041,IERD BARROBLANCO,BOJACÁ,e2,Retos,Estrategias de Éxito,Evaluación Educativa,Planeación Educativa,,
225099000041,IERD BARROBLANCO,BOJACÁ,e2,Sugerencias,Transversalización,Jornada Única,Aprendizaje Activo,Actividades Significativas,
225099000041,IERD BARROBLANCO,BOJACÁ,e3,Logros,Reconocimiento de Habilidades,Trabajo Colaborativo,Planeación y Evaluación,Crecimiento en la Praxis,Reflexión Sistemática
225099000041,IERD BARROBLANCO,BOJACÁ,e3,Retos,Reflexión Crítica,Acompañamiento Docente,Investigación Pedagógica,Estrategias Innovadoras,Comunidad Escolar
225099000041,IERD BARROBLANCO,BOJACÁ,e3,Sugerencias,Innovación Didáctica,Capacitación Docente,Calidad Educativa,Planeación Unificada,Resultados ICFES
225099000041,IERD BARROBLANCO,BOJACÁ,e4,Logros,Neurociencias,Emociones,Aprendizaje,Reflexión Docente,Formación Educativa
225099000041,IERD BARROBLANCO,BOJACÁ,e4,Retos,Relación cerebro-actividades,Herramientas tecnológicas,Apoyo familiar,Conocimiento comunitario,Implementación en el aula
225099000041,IERD BARROBLANCO,BOJACÁ,e4,Sugerencias,Inteligencia Emocional,Comunidades de Aprendizaje,Implementación,Formación Continua,Participación Grupal
125120000010,IED INTEGRADA DE CABRERA,CABRERA,e5,Logros,Modelo Pedagógico,Formación Docente,Gestión Administrativa,Vinculación con la Comunidad,Calidad Educativa
125120000010,IED INTEGRADA DE CABRERA,CABRERA,e5,Retos,Desconocimiento del PEI,Desarticulación SENA,Desconexión Proyectos Transversales,Enfoque Ambiental,Integración Familiar
125120000010,IED INTEGRADA DE CABRERA,CABRERA,e5,Sugerencias,Modelo Pedagógico,Autoevaluación Institucional,Metas de Gestión,Estrategias de Enseñanza,Liderazgo Participativo
125120000010,IED INTEGRADA DE CABRERA,CABRERA,e6,Logros,Tensiones Pedagógicas,Modelo Pedagógico,Estándares Académicos,Reflexión,Diseño Curricular
125120000010,IED INTEGRADA DE CABRERA,CABRERA,e6,Retos,Resistencia al cambio,Acompañamiento Experiencial,Modelo Magistral,Planeaciones pertinentes,Motivación
125120000010,IED INTEGRADA DE CABRERA,CABRERA,e6,Sugerencias,Acompañamiento docente,Mejora Continua,Estrategias activas,Formación contextualizada,Trabajo colaborativo docente
125123000134,IED ALFONSO LÓPEZ PUMAREJO,CACHIPAY,e5,Logros,Fortalecimiento de competencias,Acompañamiento Docente,PEI,Modelo Pedagógico,Análisis de Resultados
125123000134,IED ALFONSO LÓPEZ PUMAREJO,CACHIPAY,e5,Retos,Encuentros Docentes,Evaluación de Impacto,Capacitación Docente,Planeaciones 2025,Desconocimiento del PEI
125123000134,IED ALFONSO LÓPEZ PUMAREJO,CACHIPAY,e5,Sugerencias,Modelo Pedagógico,Adaptación curricular,Educación pertinente,Educación transformadora,Contextos y necesidades
125123000134,IED ALFONSO LÓPEZ PUMAREJO,CACHIPAY,e6,Logros,Seguimiento y Monitoreo,Formación Continua,Planes de Estudio,Herramientas Pedagógicas,Calidad de la Educación
125123000134,IED ALFONSO LÓPEZ PUMAREJO,CACHIPAY,e6,Retos,Seguimiento Docente,Participación Familiar,Planeaciones pertinentes,Acompañamiento Experiencial,Deserción estudiantil
125123000134,IED ALFONSO LÓPEZ PUMAREJO,CACHIPAY,e6,Sugerencias,Planeaciones de Clase,Mejora Continua,Acompañamiento docente,Estrategias de formación activa,Nivelación de estudiantes
225123000201,IED INSTITUTO AGRICOLA,CACHIPAY,e5,Logros,Modelo Pedagógico,Reflexión Directiva,PEI,Acompañamiento Docente,Comunidad Educativa
225123000201,IED INSTITUTO AGRICOLA,CACHIPAY,e5,Retos,Desconocimiento del PEI,Trabajo Reflexivo,Implementación del Modelo,Evaluación de Impacto,Ajustes Documentales
225123000201,IED INSTITUTO AGRICOLA,CACHIPAY,e5,Sugerencias,Revisión Manual de Convivencia,Modelo Pedagógico,Capacitación Docente,Desarrollo Agropecuario,Programación de Actividades
225123000201,IED INSTITUTO AGRICOLA,CACHIPAY,e6,Logros,Seguimiento y Monitoreo,Calidad de la Educación,Formación Continua,Planes de Estudio,Herramientas Pedagógicas
225123000201,IED INSTITUTO AGRICOLA,CACHIPAY,e6,Retos,Seguimiento Docente,Planeaciones pertinentes,Participación Familiar,Modelo Magistral,Contexto rural
225123000201,IED INSTITUTO AGRICOLA,CACHIPAY,e6,Sugerencias,Planeaciones de Clase,Mejora Continua,Acompañamiento docente,Estrategias activas,Seguimiento de compromisos
125126000313,IEDR SAN GABRIEL,CAJICÁ,e1,Logros,Planeación,Articulación de Instrumentos,Ajuste de Modelo,Desarrollo de Habilidades,Evaluación
125126000313,IEDR SAN GABRIEL,CAJICÁ,e1,Retos,Coherencia Educativa,Gestión Pedagógica,Estrategias de Enseñanza,Visibilidad Documental,Diseño de Estrategias
125126000313,IEDR SAN GABRIEL,CAJICÁ,e2,Logros,Planeación Curricular,Reflexión Pedagógica,Interacciones,Implementación,Evaluación
125126000313,IEDR SAN GABRIEL,CAJICÁ,e2,Retos,Estrategias de Éxito,Modelo Pedagógico,Planeación Educativa,Evaluación Educativa,Diseño Curricular
125126000313,IEDR SAN GABRIEL,CAJICÁ,e2,Sugerencias,Reconocimiento del contexto,Plan de acompañamiento,Diagnóstico,Inclusión y Diversidad,Herramienta de Seguimiento
125126000313,IEDR SAN GABRIEL,CAJICÁ,e3,Logros,Reflexión Sistemática,Juicio Crítico,Trabajo Colaborativo,Ajustes de la Práctica,Motivación Estudiantil
125126000313,IEDR SAN GABRIEL,CAJICÁ,e3,Retos,Reflexión Crítica,Acompañamiento Docente,Comunidad Escolar,Estrategias Innovadoras,Práctica Reflexiva
125126000313,IEDR SAN GABRIEL,CAJICÁ,e3,Sugerencias,Comunidades de Indagación,Mejora de Prácticas,Innovación Didáctica,Repositorio de Experiencias,Sugerencias de Cambio
125126000313,IEDR SAN GABRIEL,CAJICÁ,e4,Logros,Metodologías Pedagógicas,Neurociencias,Emociones,Reflexión Docente,Práctica Educativa
125126000313,IEDR SAN GABRIEL,CAJICÁ,e4,Retos,Integración Neurociencia,Gestión Emocional,Prácticas Pedagógicas,Formación Docente,Implementación en el aula
125126000313,IEDR SAN GABRIEL,CAJICÁ,e4,Sugerencias,Inteligencia Emocional,Proyectos de Aprendizaje,Formación Continua,Espacios Formativos,Mindfulness
225126000288,IED CAPELLANÍA,CAJICÁ,e1,Logros,Ajuste de Modelo,Evaluación,Planeación,Trabajo en Equipo,Dinámica de Cambio
225126000288,IED CAPELLANÍA,CAJICÁ,e1,Retos,Evaluación,Inclusión Educativa,Estrategias de Enseñanza,Planeación Microcurricular,Ajustes Documentales
225126000288,IED CAPELLANÍA,CAJICÁ,e2,Logros,Modelo Pedagógico,Reflexión Pedagógica,Implementación,Instrumentos de Evaluación,Evaluación
225126000288,IED CAPELLANÍA,CAJICÁ,e2,Retos,Modelo Pedagógico,Planeación Educativa,Estrategias de Éxito,Diseño Curricular,Banco de Acciones Pedagógicas
225126000288,IED CAPELLANÍA,CAJICÁ,e2,Sugerencias,Reconocimiento del contexto,Plan de acompañamiento,Diagnóstico,,
225126000288,IED CAPELLANÍA,CAJICÁ,e3,Logros,Reflexión Sistemática,Ajustes de la Práctica,Motivación Estudiantil,Trabajo Colaborativo,Crecimiento en la Praxis
225126000288,IED CAPELLANÍA,CAJICÁ,e3,Retos,Práctica Reflexiva,Acompañamiento Docente,Comunidad Escolar,Estrategias Innovadoras,Reflexión Crítica
225126000288,IED CAPELLANÍA,CAJICÁ,e3,Sugerencias,Espacios de Diálogo,Comunidades de Indagación,Calidad Educativa,Innovación Didáctica,Aprendizaje Permanente
225126000288,IED CAPELLANÍA,CAJICÁ,e4,Logros,Neurociencias,Emociones,Práctica Docente,Habilidades Pedagógicas,Mindfulness
225126000288,IED CAPELLANÍA,CAJICÁ,e4,Retos,Integración Neurociencia,Formación Docente,Gestión Emocional,Resolución de Conflictos,Implementación en el aula
225126000288,IED CAPELLANÍA,CAJICÁ,e4,Sugerencias,Neurociencias,Inteligencia Emocional,Formación Continua,Ejercicios de Gimnasia Cerebral,Seguridad Emocional
225126000288,IED CAPELLANÍA,CAJICÁ,e6,Logros,Modelo Pedagógico,Prácticas de Enseñanza,Calidad de la Educación,Plan de Mejoramiento,Clima escolar
225126000288,IED CAPELLANÍA,CAJICÁ,e6,Retos,Acompañamiento Experiencial,Evaluación Calificativa,Participación Familiar,Deserción estudiantil,Entorno familiar
225126000288,IED CAPELLANÍA,CAJICÁ,e6,Sugerencias,Evaluación formativa,Planeaciones de Clase,Mejora Continua,Participación familiar,Acompañamiento docente
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e1,Logros,Desarrollo de Habilidades,Armonización Teórica,Planeación,Reflexión sobre Prácticas,Unificación de Criterios
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e1,Retos,Evaluación,Estrategias de Enseñanza,Gestión Pedagógica,Coherencia Educativa,Diseño de Estrategias
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e2,Logros,Modelo Pedagógico,Reflexión Pedagógica,Interacciones,Implementación,Evaluación
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e2,Retos,Planeación Educativa,Espacios Pedagógicos,Modelo Pedagógico,Secuencia Didáctica,Evaluación Educativa
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e2,Sugerencias,Diagnóstico,Herramienta de Seguimiento,Jornada Única,Alianzas,Evaluación
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e3,Logros,Reflexión Sistemática,Trabajo Colaborativo,Crecimiento en la Praxis,Investigación Pedagógica,Planeación y Evaluación
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e3,Retos,Reflexión Crítica,Acompañamiento Docente,Comunidad Escolar,Proyectos Colaborativos,Formación Continua
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e3,Sugerencias,Planeación Unificada,Capacitación Docente,Mejora de Prácticas,Trabajo por Proyectos,Innovación Didáctica
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e4,Logros,Emociones,Reflexión Docente,Práctica Educativa,Formación Educativa,Compromiso Docente
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e4,Retos,Implementación en el aula,Formación Docente,Estrategias Pedagógicas,Clima Laboral,Neuroeducación
225126000067,IEDR RINCÓN SANTO,CAJICÁ,e4,Sugerencias,Inteligencia Emocional,Formación Continua,Comunidad Educativa,Buenas Prácticas,Acompañamiento Docente
225126000431,IEDR ANTONIO NARIÑO,CAJICÁ,e1,Logros,Competencias TIC,Desarrollo de Habilidades,Articulación de Instrumentos,Flexibilidad de Aprendizaje,Reflexión sobre Prácticas
225126000431,IEDR ANTONIO NARIÑO,CAJICÁ,e1,Retos,Integración Curricular,Estrategias de Enseñanza,Evaluación,Articulación TIC,Planeación Microcurricular
225126000431,IEDR ANTONIO NARIÑO,CAJICÁ,e2,Logros,Modelo Pedagógico,Reflexión Pedagógica,Interacciones,Implementación,Evaluación
225126000431,IEDR ANTONIO NARIÑO,CAJICÁ,e2,Retos,Espacios Pedagógicos,Planeación Educativa,Modelo Pedagógico,Secuencia Didáctica,Evaluación Educativa
225126000431,IEDR ANTONIO NARIÑO,CAJICÁ,e2,Sugerencias,Diagnóstico,Alianzas,Herramienta de Seguimiento,Evaluación,Jornada Única
225126000431,IEDR ANTONIO NARIÑO,CAJICÁ,e3,Logros,Reflexión Sistemática,Comunicación Efectiva,Práctica Reflexiva,Diálogo Reflexivo,Mejora de Prácticas
